Player;Team;Position;16/17 Cap Hit;17/18 Cap Hit;16/17 Salary;17/18 Salary;18/19 Salary;19/20 Salary;20/21 Salary
Stafford, Drew;WPG;Right;4.350;0.000;4.350;UFA;;;
Stafford, Drew;BOS;Right;4.350;0.000;4.350;UFA;;;
Kulikov, Dmitry;BUF;Defence;4.333;0.000;4.500;UFA;;;
Couturier, Sean;PHI;Center;4.333;4.333;3.750;4.000;4.250;4.500;4.750
Dubnyk, Devan;MIN;Goaltender;4.333;4.333;5.000;5.000;5.000;3.500;2.500
Frolik, Michael;CGY;Center;4.300;4.300;5.000;4.000;4.000;3.000;UFA
Klingberg, John;DAL;Defence;4.250;4.250;2.750;3.500;4.500;5.000;5.750
Vlasic, Marc-Edouard;SJS;Defence;4.250;4.250;4.250;4.250;UFA;;
Van Riemsdyk, James;TOR;Left;4.250;4.250;5.000;5.000;UFA;;
Hornqvist, Patric;PIT;Right;4.250;4.250;4.750;4.750;UFA;;
Gionta, Brian;BUF;Right;4.250;0.000;3.250;UFA;;;
Abdelkader, Justin;DET;Left;4.250;4.250;5.500;5.000;5.000;4.750;3.500
Ericsson, Jonathan;DET;Defence;4.250;4.250;4.250;4.250;4.250;4.250;UFA
Shattenkirk, Kevin;STL;Defence;4.250;0.000;5.200;UFA;;;
Savard, David;CLB;Defence;4.250;4.250;3.500;4.000;4.750;5.000;4.000
Smith, Craig;NAS;Center;4.250;4.250;4.000;4.250;4.500;4.750;UFA
Bozak, Tyler;TOR;Center;4.200;4.200;4.500;4.000;UFA;;
Anderson, Craig;OTT;Goaltender;4.200;4.200;4.750;3.100;UFA;;
Kulemin, Nikolay;NYI;Left;4.188;4.188;4.250;5.250;UFA;;
Oshie, T.J.;WAS;Center;4.175;0.000;4.500;UFA;;;
Klefbom, Oscar;EDM;Defence;4.167;4.167;3.000;3.500;4.000;4.500;4.500
Talbot, Cam;EDM;Goaltender;4.167;4.167;4.150;4.150;4.200;UFA;
Larsson, Adam;EDM;Defence;4.167;4.167;3.000;4.500;4.850;5.050;5.100
Brodin, Jonas;MIN;Defence;4.167;4.167;4.000;4.500;5.750;4.750;3.500
Bernier, Jonathan;ANA;Goaltender;4.150;0.000;4.150;UFA;;;
Hjalmarsson, Niklas;CHI;Defence;4.100;4.100;4.100;4.000;4.000;UFA;
Emelin, Alexei;MTL;Defence;4.100;4.100;4.200;4.400;UFA;;
Mason, Steve;PHI;Goaltender;4.100;0.000;4.100;UFA;;;
Bjugstad, Nick;FLA;Center;4.100;4.100;3.350;3.850;4.300;5.000;5.250
Maatta, Olli;PIT;Defence;4.083;4.083;4.083;4.083;4.083;4.083;4.083
Gardiner, Jake;TOR;Defence;4.050;4.050;4.050;4.050;3.450;UFA;
Savard, Marc;NJD;Center;4.021;0.000;0.575;UFA;;;
Hagelin, Carl;PIT;Left;4.000;4.000;3.667;3.667;3.667;UFA;
Bieksa, Kevin;ANA;Defence;4.000;4.000;4.000;4.000;UFA;;
Rask, Victor;CAR;Center;4.000;4.000;4.000;4.000;4.000;4.000;4.000
Pouliot, Benoit;EDM;Left;4.000;4.000;4.000;4.000;4.000;UFA;
Hedman, Victor;TBL;Defence;4.000;7.875;4.250;8.000;8.000;8.000;8.000
